% Model:              пористость 27%.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 31 2022, 12:16
% Dimension:          1
% Nodes:              53
% Expressions:        1
% Description:        Global
% X                       Height
0                         0
-0.02                     0.35793668965930037
-0.04                     0.7142220233082317
-0.060000000000000005     1.0671528913251214
-0.08                     1.4148977975017134
-0.1                      1.7553235665373772
-0.12000000000000001      2.0851917513513243
-0.14                     2.387990948132247
-0.16                     1.942949137665916
-0.18                     1.2251777587364934
-0.2                      1.1056192158294358
-0.22                     0.5679821284993847
-0.24000000000000002      0.44338023036255764
-0.26                     0.3892901996806757
-0.28                     0.12181516326635675
-0.3                      0.12055583066766408
-0.32                     0.12587101018244443
-0.34                     0.1320213161483967
-0.36                     0.1388322387391637
-0.38                     0.1404226448342049
-0.4                      0.13781205670066837
-0.42000000000000004      0.14044580011662003
-0.44                     0.1464994929131728
-0.46                     0.152418807956797
-0.48000000000000004      0.15622075330845697
-0.5                      0.15988096213362188
-0.52                     0.163031888892577
-0.54                     0.14918610676606095
-0.56                     0.1262962944262267
-0.58                     0.1163586399171533
-0.6                      0.11030297681925541
-0.62                     0.10408219696260043
-0.64                     0.10411083518423399
-0.66                     0.10017151791362129
-0.68                     0.10220957259924986
-0.7000000000000001       0.10457724800326854
-0.72                     0.10712851087342226
-0.74                     0.10526803870210912
-0.76                     0.09892764039735653
-0.7800000000000001       0.10123799136853102
-0.8                      0.10115103091214127
-0.8200000000000001       0.10018491986753618
-0.8400000000000001       0.09989222946512391
-0.86                     0.10046651369418128
-0.88                     0.10257382926825098
-0.9000000000000001       0.1044333883534731
-0.92                     0.10516584330861618
-0.9400000000000001       0.10161520166254819
-0.9600000000000001       0.09753264956917705
-0.98                     0.09618098940969957
-1                        0.09575058734925307
-1.02                     0.09730153873929646
-1.04                     0.09904519822749312
